0,-0.635,0.225,-0.198,-0.53,0.651,-0.836,0.374,-0.254,0.877,0.34,-0.348
-0.635,0,-0.57,0.219,0.561,-0.576,0.539,-0.833,0.082,-0.209,0.624,0.17
0.225,-0.57,0,-0.605,-0.021,0.2,-0.537,0.872,-0.723,-0.274,-0.911,0.303
-0.198,0.219,-0.605,0,0.309,0.228,0.182,-0.245,0.102,0.157,0.333,-0.249
-0.53,0.561,-0.021,0.309,0,0.278,-0.349,-0.51,-0.774,0.183,0.043,0.305
0.651,-0.576,0.2,0.228,0.278,0,-0.89,0.523,-0.215,0.611,-0.273,-0.268
-0.836,0.539,-0.537,0.182,-0.349,-0.89,0,-0.503,0.435,-0.533,0.289,0.236
0.374,-0.833,0.872,-0.245,-0.51,0.523,-0.503,0,-0.47,-0.169,-0.909,0.077
-0.254,0.082,-0.723,0.102,-0.774,-0.215,0.435,-0.47,0,-0.05,0.584,-0.581
0.877,-0.209,-0.274,0.157,0.183,0.611,-0.533,-0.169,-0.05,0,0.639,-0.295
0.34,0.624,-0.911,0.333,0.043,-0.273,0.289,-0.909,0.584,0.639,0,-0.692
-0.348,0.17,0.303,-0.249,0.305,-0.268,0.236,0.077,-0.581,-0.295,-0.692,0
